"Method","beta0.x","beta1.x","beta2.x","beta0.y","beta1.y","beta2.y"
"cc","-0.022889857931151","0.221547195206593","0.209887702351623","0.0722676696686923","0.0449804959936703","0.0457970796251597"
"oracle","0.000882601823768777","0.197022561522231","0.216719284349964","0.0336585060182739","0.0277628610780012","0.0296256196193941"
"naive","0.0575106589227722","0.208666326096938","0.176522163566211","0.0327537314550711","0.0275160822822607","0.025988602831356"
"cc","-0.0267539046399403","0.222207160695371","0.193677559159303","0.0650769450741366","0.0412059657648482","0.0443978433659457"
"oracle","-0.0567626117891576","0.224414797243371","0.197143242517918","0.0361800711881943","0.0310414215629901","0.0311991897828951"
"naive","-0.0025714307498859","0.232381927977528","0.167475677319301","0.0349129528559256","0.0307079958910373","0.0271098640056686"
"cc","-0.091750023864452","0.243765276733279","0.20835815108925","0.0673744033778431","0.0446359751097017","0.0451587085561626"
"oracle","-0.0830919855841027","0.23040708061257","0.197967619147037","0.0335279777903649","0.0287546418445084","0.0293774308946973"
"naive","-0.0285782375755866","0.24180168599965","0.160187460428467","0.0324127782653999","0.028538680833915","0.0259653240189319"
"cc","-0.0178264416214111","0.199985617536897","0.173299893645839","0.0650704997814345","0.0439338358124162","0.0413822286579143"
"oracle","-0.0509459347761061","0.203928446844179","0.208805503071521","0.0334517072158263","0.0288748876293151","0.0292549492678998"
"naive","0.00486394703645605","0.213059398088922","0.172182199738769","0.032669703484251","0.0288061882017749","0.0260850834038767"
"cc","0.0290295778918698","0.162074198624507","0.184157529000221","0.0695255963849403","0.0427930861429551","0.0426770173985525"
"oracle","0.0128073107747488","0.193123623341683","0.192282466837377","0.0337101581514141","0.0293091730583108","0.0282365287566414"
"naive","0.066790487935852","0.200706173332726","0.160246341210848","0.0325308861357033","0.0292355470333631","0.0251942039570388"
"cc","-0.00393952190343922","0.193532551890196","0.189851732753916","0.0719647083643588","0.0456292270884448","0.0428200809958529"
"oracle","0.062681583427694","0.225997875909189","0.190447948005265","0.0345242134665624","0.0294040656989425","0.0312266362524071"
"naive","0.112245453270271","0.240608805195004","0.146487872715522","0.0333069669839687","0.0291840138358537","0.0277749411508491"
"cc","0.0103466146917029","0.215593382958981","0.215830238223315","0.0666760592625113","0.0410059012594702","0.0437797810352812"
"oracle","-0.0434596913524898","0.22945234322495","0.186964084544238","0.0333847483720634","0.0291465124715157","0.0283994356818761"
"naive","0.00235330198006162","0.237946907563462","0.158805397843566","0.032318727316065","0.0289095470928361","0.0254244459627279"
"cc","-0.0131591924993853","0.202113611817378","0.189572214991061","0.0673095387511681","0.0440076000520335","0.0417458353251464"
"oracle","0.0145407406400774","0.133174209529967","0.263035285704114","0.0334930913472711","0.0299733799546728","0.0291242552227683"
"naive","0.0822297024070927","0.143207703851144","0.231778813829432","0.032758810196527","0.0296880117815256","0.0263343187617839"
"cc","-0.0305841604856277","0.185806755589494","0.249671107589864","0.066472644684038","0.0462660272766663","0.0435671191097245"
"oracle","-0.0144698468074347","0.213697876687422","0.229500559768872","0.0347045623293845","0.0290028277673995","0.0302599649181774"
"naive","0.0457991316289688","0.224248281947488","0.196588684477621","0.0332109621785733","0.0286287553337958","0.0266540752164207"
"cc","-0.000457460580645997","0.196770603095912","0.228669068549836","0.0679741504277717","0.0437053131509947","0.0428931541833774"
"oracle","0.0324617728739329","0.19990416655738","0.173057793504753","0.0334811591578632","0.029089222176952","0.0280736756035701"
"naive","0.0776243902257973","0.208386833583648","0.150577490743724","0.032315669363594","0.0285936574284782","0.0246365131585831"
"cc","-0.0201152344342933","0.241683458927264","0.1850939758385","0.064680373906232","0.0426154947213044","0.0405549027122149"
"oracle","0.0450325078145991","0.185138300447787","0.173599783715671","0.0339042505202368","0.0291728499849755","0.0284302087022171"
"naive","0.0900698947183967","0.191829101034881","0.14797226482939","0.0328836219869858","0.0289811636005816","0.0253397584823081"
"cc","0.0565015663126367","0.193308343931326","0.153486483999601","0.0637554054796287","0.0426649615638382","0.0417150150606638"
"oracle","0.06736579957978","0.170190261993936","0.23275929242425","0.0349226500328672","0.0311122054903209","0.0309283817663902"
"naive","0.126013096425608","0.178994544123291","0.208503856919905","0.0336417857279194","0.0304833436354558","0.0273026835872057"
"cc","0.0274169770579823","0.226191412288505","0.230239539685268","0.072419881189288","0.0481633504020481","0.0474952521728474"
"oracle","-0.0489660073304519","0.215839648211952","0.181504965628021","0.0356688767370262","0.0290755356756229","0.0301755713957562"
"naive","0.00108423342836209","0.223454411345671","0.152305115745851","0.0343898843610622","0.0288297787957971","0.0265878886152108"
"cc","-0.0108260165343149","0.20727413983133","0.166764975893574","0.0744909498866668","0.0450096387769569","0.0467818532235593"
"oracle","0.0134305582214863","0.17918566546406","0.260497287079899","0.0340419778012033","0.0304172488676634","0.0294264590467379"
"naive","0.0878922771523212","0.19625918347077","0.208804561158025","0.0327897407077397","0.0302391771193787","0.0259809517302698"
"cc","-0.0136613251623991","0.133814396470583","0.307211348969031","0.0756606061516706","0.0504847034406123","0.0461354424956056"
"oracle","0.00118825773687999","0.249676063942293","0.189399171539678","0.0347669618078962","0.028907651152755","0.0284840963647532"
"naive","0.0536649765228238","0.25979677696764","0.158173898119549","0.0336291289554914","0.0286580292661838","0.0254646085265719"
"cc","0.0383844971492541","0.219438042911165","0.18783057441758","0.0759227582283384","0.0460311715941949","0.0467426123536079"
"oracle","0.000814500510112465","0.192899643089519","0.229824186461335","0.033612048781462","0.0299990323931455","0.02945734563552"
"naive","0.0618773887356417","0.19977486350764","0.201422329435876","0.0326597746710453","0.0296858383497968","0.0260713581007271"
